answer,correct_answer,score
John Turtoro,John Turturro,0.966
Peter O'Tool,Peter O'toole,0.97
Helena Bonham Carter,Helena Bonham Carter,1
Joan Cusack,Joan Cusack,1
Blythe Danner,Blythe Danner,1
Jamie Foxx,Jamie Foxx,1
Vanessa Redgrave,Vanessa Redgrave,1
Albert Finney,Albert Finney,1
Clint Eastwood,Clint Eastwood,1
Colin Farrel,Colin Farrell,0.998
Candice Bergan,Candice Bergen,0.993
Julia Roberts,Julia Roberts,1
James Mcavoy,James McAvoy,1
Jodie Foster,Jodie Foster,1
Dan Ackeroid,Dan Aykroyd,0.916
Jack Nicolson,Jack Nicholson,0.99
Miney Driver,Minnie Driver,0.893
Scarlet Johanson,Scarlett Johansson,0.977
Michael Keaton,Michael Keaton,1
Jake Gyllenhaal,Jake Gyllenhaal,1
Jeremy Irons,Jeremy Irons,1
Jennifer Jason Leigh,Jennifer Jason Leigh,1
Bill Pullman,Bill Pullman,1
Peter Sarsgaard,Peter Sarsgaard,1
Jeremy Renner,Jeremy Renner,1
Tom Cruise,Tom Cruise,1
Ben Stiller,Ben Stiller,1
Tom Hardy,Tom Hardy,1
Richard Gerre,Richard Gere,0.996
Al Pacino,Al Pacino,1
Rene  Zelwegger,Renee Zellweger,0.86
David Hasselhof,David Hasselhoff,0.999
Cristian Slater,Christian Slater,0.98
Harrison Ford,Harrison Ford,1
Robert Redford,Robert Redford,1
Michael Fasbender,Michael Fassbender,0.993
Kiefer Sutherland,Kiefer Sutherland,1
Keano Reeves,Keanu Reeves,0.963
Robert Duval,Robert Duvall,0.998
Andy Garcia,Andy Garcia,1
Frank Langella,Frank Langella,1
Toby Mcguire,Tobey Maguire,0.939
Forest Whitaker,Forest Whitaker,1
Jon Ham,Jon Hamm,0.988
Sean Penn,Sean Penn,1
David Ducovny,David Duchovny,0.991
Danny Davito,Danny DeVito,0.954
John Hawks,John Hawkes,0.994
Bridgette Fonda,Bridget Fonda,0.976
Kevin James,Kevin James,1
Jack Nicholsen,Jack Nicholson,0.993
Donald Sutherland,Donald Sutherland,1
Jennifer Aniston,Jennifer Aniston,1
Zack Galifinakis,Zach Galifianakis,0.932
Steve Martin,Steve Martin,1
Daniel Craig,Daniel Craig,1
Elizabeth Perkins,Elizabeth Perkins,1
Helen Hunt,Helen Hunt,1
Catherine Zeta Jones,Catherine Zeta-Jones,0.99
Glenn Close,Glenn Close,1
Jason Bateman,Jason Bateman,1
Nathan Lane,Nathan Lane,1
Cameron Diaz,Cameron Diaz,1
Sean Connery,Sean Connery,1
Willem Dafoe,Willem Dafoe,1
Kathlene Turner,Kathleen Turner,0.987
Francis Mcdormand,Frances McDormand,0.898
Maggie Gyllenhaal,Maggie Gyllenhaal,1
Jodie foster,Jodie Foster,1
John Travolta,John Travolta,1
Lucy liu,Lucy Liu,1
Demi Moore,Demi Moore,1
Alan Arkin,Alan Arkin,1
Jackie Chan,Jackie Chan,1
Emily Blunt,Emily Blunt,1
Sidney Poitier,Sidney Poitier,1
Isabela Rosselini,Isabella Rossellini,0.936
Mathew Broderick,Matthew Broderick,0.984
Kate Hudson,Kate Hudson,1
Elizabeth Shue,Elisabeth Shue,0.963
Michelle Phfifer,Michelle Pfeiffer,0.966
Mike Myers,Mike Myers,1
Billy Crystal,Billy Crystal,1
Catherine Keener,Catherine Keener,1
Liev Schriber,Liev Schreiber,0.982
William Hurt,William Hurt,1
Sharon Stone,Sharon Stone,1
Dustin Hoffman,Dustin Hoffman,1
Anette Benning,Annette Bening,0.937
Nicholas Cage,Nicholas Cage,1
Chevy Chase,Chevy Chase,1
Rene Russo,Rene Russo,1
Beau Bridges,Beau Bridges,1
Naomi Watts,Naomi Watts,1
Collin Farrell,Colin Farrell,0.981
Meg Ryan,Meg Ryan,1
Kurt Russel,Kurt Russell,0.998
Jane Fonda,Jane Fonda,1
Leonardo De Capprio,Leonardo DiCaprio,0.946
David Spade,David Spade,1
Antonio Banderas,Antonio Banderas,1
Emma Stone,Emma Stone,1
Dennis Hopper,Dennis Hopper,1
Gene Hackman,Gene Hackman,1
Christian Bale,Christian Bale,1
Adriene Brodie,Adrien Brody,0.943
Kim Bassinger,Kim Basinger,0.988
Holly Hunter,Holly Hunter,1
Halle Berrie,Halle Berry,0.986
Owen Wilson,Owen Wilson,1
Patricia Arquette,Patricia Arquette,1
Chris Rock,Chris Rock,1
Marissa Tomei,Marisa Tomei,0.984
Natalie Portman,Natalie Portman,1
Ryan Reynolds,Ryan Reynolds,1
Joney Depp,Johnny Depp,0.923
Brendan Fraiser,Brendan Fraser,0.994
Elizabeth Perkins,Elizabeth Perkins,1
Francis Mcdormand,Frances McDormand,0.898
William Hurt,William Hurt,1
Sharon Stone,Sharon Stone,1
Michael J fox,Michael J. Fox,0.974
Ralph Finnes,Ralph Fiennes,0.979
Woddy Allen,Woody Allen,0.95
Keifer Sutherland,Kiefer Sutherland,0.982
Charlie Sheen,Charlie Sheen,1
Ed Burns,Ed Burns,1
Lucy liu,Lucy Liu,1
Steve Buscemi,Steve Buscemi,1
Mary Steinburgen,Mary Steenburgen,0.946
Cate Blanchette,Cate Blanchett,0.999
Dennis Hopper,Dennis Hopper,1
James Gandolfini,James Gandolfini,1
Kevin James,Kevin James,1
Mel Gibson,Mel Gibson,1
Anna Pacquen,Anna Paquin,0.964
Isabella Rossellini,Isabella Rossellini,1
Keano Reeves,Keanu Reeves,0.963
Eddie murphy,Eddie Murphy,1
Zack Galifinakis,Zach Galifianakis,0.932
Javier Bardem,Javier Bardem,1
Gary Sinease,Gary Sinise,0.96
James Woods,James Woods,1
Reese Whitherspoon,Reese Witherspoon,0.977
Jamie foxx,Jamie Foxx,1
Hugh Grant,Hugh Grant,1
Bill Cosby,Bill Cosby,1
Anne Hathaway,Anne Hathaway,1
Greg Kinnear,Greg Kinnear,1
Patricia Arquette,Patricia Arquette,1
Jeff Goldblum,Jeff Goldblum,1
Edward Norton,Edward Norton,1
Daniel Craig,Daniel Craig,1
Jennifer Lawrence,Jennifer Lawrence,1
Bridget Fonda,Bridget Fonda,1
Emma Stone,Emma Stone,1
Jamie Lee Curtis,Jamie Lee Curtis,1
Rosie Perez,Rosie Perez,1
Goldie Hawn,Goldie Hawn,1
Adrien Brody,Adrien Brody,1
Bil Muray,Bill Murray,0.956
Ryan Reynolds,Ryan Reynolds,1
Jonny Depp,Johnny Depp,0.975
Al Pacino,Al Pacino,1
Kathlene Turner,Kathleen Turner,0.987
Ryan Gosling,Ryan Gosling,1
Mackauly Caulkin,Macaulay Culkin,0.947
Jeremy Renner,Jeremy Renner,1
Gene Hackman,Gene Hackman,1
Emily Blunt,Emily Blunt,1
Dan Akyroyd,Dan Aykroyd,0.983
Peirce Brosnan,Pierce Brosnan,0.978
David Hasselhoff,David Hasselhoff,1
Mary Louise-Parker,Mary-Louise Parker,0.986
Daniel Day-Lewis,Daniel Day-Lewis,1
Emma Thompson,Emma Thompson,1
Helena Bonham-Carter,Helena Bonham Carter,0.988
Kate Hudson,Kate Hudson,1
Laura Linney,Laura Linney,1
Juliette Binoche,Juliette Binoche,1
Roy Schider,Roy Scheider,0.976
Holly Hunter,Holly Hunter,1
Gabriel Byrne,Gabriel Byrne,1
Jerry Lewis,Jerry Lewis,1
Robert De Niro,Robert De Niro,1
Kenneth Branaugh,Kenneth Branagh,0.996
Josh Brolin,Josh Brolin,1
Joan Cusack,Joan Cusack,1
Andie Garcia,Andy Garcia,0.936
Jennifer Aniston,Jennifer Aniston,1
Benecio Del Torro,Benicio Del Toro,0.914
Christian Slater,Christian Slater,1
Vanessa Redgrave,Vanessa Redgrave,1
Julianne Moore,Julianne Moore,1
Jennifer Conoly,Jennifer Connelly,0.976
Seth Rogen,Seth Rogen,1
Brad Pitt,Brad Pitt,1
Donald Sutherland,Donald Sutherland,1
Natalie Portman,Natalie Portman,1
Emma Watson,Emma Watson,1
Jackie Chan,Jackie Chan,1
Judy Dench,Judi Dench,0.953
Mark Walberg,Mark Wahlberg,0.988
Naomi Watts,Naomi Watts,1
Amy Adams,Amy Adams,1
Jack Nicholsen,Jack Nicholson,0.993
Jeff Bridges,Jeff Bridges,1
Richard Guere,Richard Gere,0.992
Keira Knightly,Keira Knightley,0.997
Alec Baldwin,Alec Baldwin,1
Kevin Costner,Kevin Costner,1
Jane Fonda,Jane Fonda,1
Scarlett Johanson,Scarlett Johansson,0.997
Chris Cooper,Chris Cooper,1
Rober Duval,Robert Duvall,0.968
Albert Molina,Alfred Molina,0.888
Gary Sinese,Gary Sinise,0.974
Isabella Rossalini,Isabella Rossellini,0.983
Nicole Kidman,Nicole Kidman,1
Sylvester Stalone,Sylvester Stallone,0.996
Winona Wider,Winona Ryder,0.954
Arnold Schwartzenager,Arnold Schwarzenegger,0.969
Kelly Macdonald,Kelly MacDonald,1
John C Reily,John C. Reilly,0.973
Adrien Brody,Adrien Brody,1
Robert Redford,Robert Redford,1
Sally Fields,Sally Fields,1
Ed Burns,Ed Burns,1
Jerry Lewis,Jerry Lewis,1
Joseph Godron Levitt,Joseph Gordon-Levitt,0.972
Josh Brolin,Josh Brolin,1
Tom Hanks,Tom Hanks,1
Rob Schnider,Rob Schneider,0.979
Clint Eastwood,Clint Eastwood,1
Jon Hamm,Jon Hamm,1
Adam Sandler,Adam Sandler,1
Jim Carey,Jim Carrey,0.99
Antonio Banderas,Antonio Banderas,1
Goldie Hawn,Goldie Hawn,1
Bradley Cooper,Bradley Cooper,1
Ben Afleck,Ben Affleck,0.986
Tim Robbins,Tim Robbins,1
Gabriel Byrne,Gabriel Byrne,1
Liam Neeson,Liam Neeson,1
Christopher Waltz,Christoph Waltz,0.982
Kurt Russell,Kurt Russell,1
Bill Murray,Bill Murray,1
George Cloney,George Clooney,0.993
Eddie Murphy,Eddie Murphy,1
Sam Worthington,Sam Worthington,1
Natalie Portman,Natalie Portman,1
David Schwimmer,David Schwimmer,1
Malcolm Macdowell,Malcolm McDowell,0.972
Anette Benning,Annette Bening,0.937
Orlando Bloom,Orlando Bloom,1
Kathy Bates,Kathy Bates,1
Jennifer Lopez,Jennifer Lopez,1
Tea Leoni,Tea Leoni,1
Jack Black,Jack Black,1
Beau Bridges,Beau Bridges,1
Danny Glover,Danny Glover,1
Rosie Perez,Rosie Perez,1
Elizabeth Shue,Elisabeth Shue,0.963
Elliott Gould,Elliott Gould,1
Lucy Liu,Lucy Liu,1
David Ducovny,David Duchovny,0.991
Robin Williams,Robin Williams,1
Steven Segal,Steven Seagal,0.984
Helena Bonham-Carter,Helena Bonham Carter,0.988
Liv Tyler,Liv Tyler,1
Nathan Lane,Nathan Lane,1
Meg Ryan,Meg Ryan,1
Brooke Shields,Brooke Shields,1
Peter Galligher,Peter Gallagher,0.985
Frank Langella,Frank Langella,1
Amanda Peet,Amanda Peet,1
Michelle Phfiffer,Michelle Pfeiffer,0.975
Chris Rock,Chris Rock,1
Danny Devito,Danny DeVito,1
Mark Whalberg,Mark Wahlberg,0.986
Guy Peirce,Guy Pearce,0.973
Maggie Gyllenhall,Maggie Gyllenhaal,0.995
Mike Myers,Mike Myers,1
Lindsay Lohan,Lindsay Lohan,1
Ellen Barkin,Ellen Barkin,1
Jeff Bridges,Jeff Bridges,1
Paul Rudd,Paul Rudd,1
Robert Downey Jr,Robert Downey Jr.,0.999
Liev Schriber,Liev Schreiber,0.982
James Woods,James Woods,1
Samuel L. Jackson,Samuel L. Jackson,1
Naomi Watts,Naomi Watts,1
Ralph Finnes,Ralph Fiennes,0.979
Benicio Del Toro,Benicio Del Toro,1
Albert Brooks,Albert Brooks,1
Dennis Miller,Dennis Miller,1
Marion Cotelard,Marion Cotillard,0.976
Elijah Wood,Elijah Wood,1
Mira Sorvino,Mira Sorvino,1
Mary Louise Parker,Mary-Louise Parker,0.925
Steve Buscemi,Steve Buscemi,1
Ian Holm,Ian Holm,1
William Hurt,William Hurt,1
Jennifer Aniston,Jennifer Aniston,1
Brad Pitt,Brad Pitt,1
Tobey McGuire,Tobey Maguire,0.953
Woody Allen,Woody Allen,1
Jesica Chastain,Jessica Chastain,0.911
Adrien Brody,Adrien Brody,1
Daniel Day Lewis,Daniel Day-Lewis,0.984
Scarlett Johanson,Scarlett Johansson,0.997
Jeffery Rush,Geoffrey Rush,0.891
Beook Shields,Brooke Shields,0.954
Nicholas Cage,Nicholas Cage,1
Val Kilmer,Val Kilmer,1
Rober Redford,Robert Redford,0.985
Hugh Grant,Hugh Grant,1
Eva Mendez,Eva Mendes,0.993
Bill Pullman,Bill Pullman,1
Kathy Bates,Kathy Bates,1
Ryan Renolds,Ryan Reynolds,0.988
Kristin Scott-Thomas,Kristin Scott Thomas,0.988
Francis Mcdormand,Frances McDormand,0.898
Jason Bateman,Jason Bateman,1
Daniel Craig,Daniel Craig,1
Lucy Liu,Lucy Liu,1
Angelina Jolie,Angelina Jolie,1
George Lopez,George Lopez,1
Mary Steinbergen,Mary Steenburgen,0.968
John Turtoro,John Turturro,0.966
Adam Sandler,Adam Sandler,1
Bruce Willis,Bruce Willis,1
Catherine Keener,Catherine Keener,1
Matthew Broderick,Matthew Broderick,1
Holly HUnter,Holly Hunter,1
Toni Colette,Toni Collette,0.99
Danny Devito,Danny DeVito,1
Demi Moore,Demi Moore,1
Caterine Zeta Jones,Catherine Zeta-Jones,0.957
Tommy Lee Jones,Tommy Lee Jones,1
Rachel McAdams,Rachel McAdams,1
Minnie Driver,Minnie Driver,1
Stanley Tucci,Stanley Tucci,1
Natalie Portman,Natalie Portman,1
Will Farrel,Will Ferrell,0.94
Michael Fasbender,Michael Fassbender,0.993
Andy Garcia,Andy Garcia,1
Dustin Hoffman,Dustin Hoffman,1
Burt Reynolds,Burt Reynolds,1
Tom Hanks,Tom Hanks,1
Sam Worthington,Sam Worthington,1
Sharon Stone,Sharon Stone,1
Anna Pacquin,Anna Paquin,0.988
Guy Peirce,Guy Pearce,0.973
Donald Sutherland,Donald Sutherland,1
Meg Ryan,Meg Ryan,1
Sylvester Stalone,Sylvester Stallone,0.996
Tom Arnold,Tom Arnold,1
Lindsey Lohann,Lindsay Lohan,0.899
Martin Lawrence,Martin Lawrence,1
Antonio Banderias,Antonio Banderas,0.997
Jill Clayberg,Jill Clayburgh,0.979
Eddie Murphy,Eddie Murphy,1
Jackie Chan,Jackie Chan,1
Charlize Therone,Charlize Theron,0.999
Leonardo DeCapprio,Leonardo DiCaprio,0.956
Joe Pesci,Joe Pesci,1
Amanda Peet,Amanda Peet,1
Sean Penn,Sean Penn,1
Juliette Benoche,Juliette Binoche,0.968
Selma Hyeck,Salma Hayek,0.856
Emily Blunt,Emily Blunt,1
Segorny Weaver,Sigourney Weaver,0.916
Kevin Spacey,Kevin Spacey,1
Larua Linney,Laura Linney,0.977
Meryl Streep,Meryl Streep,1
Charlie Sheen,Charlie Sheen,1
Goldie Hawn,Goldie Hawn,1
Morgan Friedman,Morgan Freeman,0.973
PHilip Seymour hoffman,Philip Seymour Hoffman,1
Helena Bohnam-Carter,Helena Bonham Carter,0.972
Gwenyth Platrow,Gwyneth Paltrow,0.961
Elizabeth Shu,Elisabeth Shue,0.942
Robert Duval,Robert Duvall,0.998
Ellen Degeneris,Ellen Degeneres,0.994
Tom Hardy,Tom Hardy,1
Rene Russo,Rene Russo,1
Liv Tyler,Liv Tyler,1
Marisa Tomei,Marisa Tomei,1
Jesica Chastain,Jessica Chastain,0.911
Maggie Gyllenhaal,Maggie Gyllenhaal,1
Brad Pitt,Brad Pitt,1
Brendan Frasier,Brendan Fraser,0.996
Colin Farrell,Colin Farrell,1
Michael J. Fox,Michael J. Fox,1
Orlando Bloom,Orlando Bloom,1
Jennifer Lawerence,Jennifer Lawrence,0.981
Dennis miller,Dennis Miller,1
Nathan Lane,Nathan Lane,1
Tom Wilkenson,Tom Wilkinson,0.98
Dennis Hopper,Dennis Hopper,1
Uma THurmon,Uma Thurman,0.934
Penelope Cruise,Penelope Cruz,0.982
Laura Dern,Laura Dern,1
Joe Pesci,Joe Pesci,1
Catherine Zeta-Jones,Catherine Zeta-Jones,1
Jonny Depp,Johnny Depp,0.975
Emma Stone,Emma Stone,1
Jack Balck,Jack Black,0.987
Minnie Driver,Minnie Driver,1
Christian Bale,Christian Bale,1
Dennis Miller,Dennis Miller,1
Liev Schriber,Liev Schreiber,0.982
Time Blake Nelson,Tim Blake Nelson,0.915
Dennis HOpper,Dennis Hopper,1
Colin Firth,Colin Firth,1
Gene Hackman,Gene Hackman,1
Don Cheetle,Don Cheadle,0.942
Rober Redford,Robert Redford,0.985
Sissy Spacek,Sissy Spacek,1
Bill PUllman,Bill Pullman,1
Rachel McAdams,Rachel McAdams,1
AMy Adams,Amy Adams,1
Jeff Bridges,Jeff Bridges,1
Ralph Finnes,Ralph Fiennes,0.979
Daryl Hannah,Daryl Hannah,1
Ed Burns,Ed Burns,1
Jeff Goldblum,Jeff Goldblum,1
Candice Bergen,Candice Bergen,1
Dustin Hoffman,Dustin Hoffman,1
David Schwimmer,David Schwimmer,1
Jeremy Irons,Jeremy Irons,1
Halle Berrie,Halle Berry,0.986
Donald Sutherland,Donald Sutherland,1
Jim Carrey,Jim Carrey,1
Rob Lowe,Rob Lowe,1
Jennifer Aniston,Jennifer Aniston,1
Gary Oldman,Gary Oldman,1
Burt Reynolds,Burt Reynolds,1
Jennifer Connely,Jennifer Connelly,0.998
Bill Cosby,Bill Cosby,1
Christoph Waltz,Christoph Waltz,1
Edward NOrton,Edward Norton,1
Hugh Grant,Hugh Grant,1
Morgan Freeman,Morgan Freeman,1
Keifer Sutherland,Kiefer Sutherland,0.982
Kevin Spacey,Kevin Spacey,1
Kirstin Dunst,Kirsten Dunst,0.968
Leonardo De Capprio,Leonardo DiCaprio,0.946
Tom Cruise,Tom Cruise,1
Denzel Washington,Denzel Washington,1
Richard Geare,Richard Gere,0.994
Judy Dench,Judi Dench,0.953
Tracy Ulman,Tracey Ullman,0.964
James Mckevoy,James McAvoy,0.97
Sharon Stone,Sharon Stone,1
Jame Gandolfini,James Gandolfini,0.984
Christian Slater,Christian Slater,1
Mary Steenbergen,Mary Steenburgen,0.98
Angelina JOlie,Angelina Jolie,1
Jamie Foxx,Jamie Foxx,1
Hope Davis,Hope Davis,1
Alfred Molina,Alfred Molina,1
Jennifer Lopez,Jennifer Lopez,1
John Voit,Jon Voight,0.917
Paul Giamatti,Paul Giamatti,1
Jason Bateman,Jason Bateman,1
Ellen Barken,Ellen Barkin,0.991
Zack Galifinakis,Zach Galifianakis,0.932
Jon Hamm,Jon Hamm,1
Kurt Russel,Kurt Russell,0.998
Paul Rudd,Paul Rudd,1
Cate Blanchette,Cate Blanchett,0.999
Debora Winger,Debra Winger,0.98
Jeremy Renner,Jeremy Renner,1
Mark Ruffalo,Mark Ruffalo,1
Russel Crowe,Russell Crowe,0.986
Uma Thurmon,Uma Thurman,0.989
Tobey McGuire,Tobey Maguire,0.953
John Leguzamo,John Leguizamo,0.991
Ben Kingsley,Ben Kingsley,1
Rosey Perez,Rosie Perez,0.956
Val Kilmer,Val Kilmer,1
Emily Blunt,Emily Blunt,1
Orlando Bloome,Orlando Bloom,0.998
Mackauly Caulkin,Macaulay Culkin,0.947
John C. Riley,John C. Reilly,0.982
Scarlett Johansan,Scarlett Johansson,0.991
John Malcovitch,John Malkovich,0.944
Robert Downey Jr.,Robert Downey Jr.,1
William Hurt,William Hurt,1
Ben Afleck,Ben Affleck,0.986
Goldie Hawn,Goldie Hawn,1
Anette Benning,Annette Bening,0.937
Clive Owen,Clive Owen,1
Sarah Jesica Parker,Sarah Jessica Parker,0.991
Sally Fields,Sally Fields,1
Anne Hathaway,Anne Hathaway,1
Christopher Poummer,Christopher Plummer,0.989
Sam Worthington,Sam Worthington,1
Kevin Bacon,Kevin Bacon,1
Michael Douglas,Michael Douglas,1
Patricia  Arquette ,Patricia Arquette,1
Elizabeth shue,Elizabeth Perkins,0.929
Ben Affleck ,Ben Affleck,1
Dustin Hoffman ,Dustin Hoffman,1
Liam Neeson ,Liam Neeson,1
Pierce Brosnan ,Pierce Brosnan,1
Edward Norton ,Edward Norton,1
Ewan  McGregor ,Ewan McGregor,1
Brad Pitt ,Brad Pitt,1
David Hasselhoff ,David Hasselhoff,1
Michael J. Fox ,Michael J. Fox,1
Joseph Gordon levit,Joseph Gordon-Levitt,0.97
Ben stiller ,Ben Stiller,1
Halle berrie ,Halle Berry,0.912
Kender Sutherland ,Kiefer Sutherland,0.91
Colin Farrell ,Colin Farrell,1
Steve Martin ,Steve Martin,1
Kevin spacey,Kevin Spacey,1
John tortutto,John Turturro,0.851
Ian Holm,Ian Holm,1
Burt Reynolds ,Burt Reynolds,1
Ryan Reynolds,Ryan Reynolds,1
Sarah Jessica Parker ,Sarah Jessica Parker,1
Ellen Barkin ,Ellen Barkin,1
Christian bale ,Christian Bale,1
Macaulay calkin ,Macaulay Culkin,0.953
Ryan Gosling,Ryan Gosling,1
Bill Murray,Bill Murray,1
Laura dern,Laura Dern,1
Jeff goldblum,Jeff Goldblum,1
Beau bridges,Beau Bridges,1
Stanley Tucci,Stanley Tucci,1
Toni Colette ,Toni Collette,0.98
Nathan lane,Nathan Lane,1
Miranda Richardson,Miranda Richardson,1
Don Cheadle ,Don Cheadle,1
Alan Alda ,Alan Alda,1
Tracy Ullman ,Tracey Ullman,0.964
Mary steinburgen,Mary Steenburgen,0.894
Eva Mendez ,Eva Mendes,0.983
Jerry Lewis,Jerry Lewis,1
Robert De Niro ,Robert De Niro,1
Mira sorvino ,Mira Sorvino,1
Bill Pullman ,Bill Pullman,1
Denzel Washington ,Denzel Washington,1
David Schwimmer ,David Schwimmer,1
Paul Newman ,Paul Newman,1
Nick nolte,Nick Nolte,1
Ralph finnes,Ralph Fiennes,0.941
Albert Brooks ,Albert Brooks,1
Paul Dano ,Paul Dano,1
Owen Wilson ,Owen Wilson,1
Kate Hudson ,Kate Hudson,1
Angelina Jolie ,Angelina Jolie,1
Meget Ryan ,Meg Ryan,0.934
Harrison Ford,Harrison Ford,1
Hugh Grant,Hugh Grant,1
Gene Hackman,Gene Hackman,1
Scarlet Johanson,Scarlett Johansson,0.977
Peter Sarsguard,Peter Sarsgaard,0.988
Reese Witherspoon,Reese Witherspoon,1
Alan Arkin,Alan Arkin,1
Peter o'toole,Peter O'toole,1
Jeremy Renner,Jeremy Renner,1
Geofrey Rush,Geoffrey Rush,0.982
Jack Black,Jack Black,1
Candice Bergen,Candice Bergen,1
Woody Allen,Woody Allen,1
Willem Dafoe,Willem Dafoe,1
Christoph Waltz,Christoph Waltz,1
Judy Dench,Judi Dench,0.953
Vanessa Redgrave,Vanessa Redgrave,1
Selma Hyaek,Salma Hayek,0.854
Glenn Close,Glenn Close,1
Hope Davis,Hope Davis,1
Clive Owen,Clive Owen,1
Kirstin Dunst,Kirsten Dunst,0.968
Al Pacino,Al Pacino,1
Tom Wilkenson,Tom Wilkinson,0.98
Ed BUrns,Ed Burns,1
Cameron Diaz,Cameron Diaz,1
Matthew Broderick,Matthew Broderick,1
Michael Shannon,Michael Shannon,1
Rosey Perez,Rosie Perez,0.956
Robert Downey Jr.,Robert Downey Jr.,1
Charlie Sheen,Charlie Sheen,1
Dan Akyroid,Dan Aykroyd,0.949
Mark Walberg,Mark Wahlberg,0.988
John C. Reily,John C. Reilly,0.997
Alan Rickman,Alan Rickman,1
jeff goldblum,Jeff Goldblum,1
Matthew Broderick,Matthew Broderick,1
sandra bulock,Sandra Bullock,0.877
Jude Law,Jude Law,1
Penelope Cruise,Penelope Cruz,0.982
George Lopex,George Lopez,0.995
David Spade,David Spade,1
Eva Mendez,Eva Mendes,0.993
Emma Watson,Emma Watson,1
Jennifer Jason Leigh,Jennifer Jason Leigh,1
Charlize Theron,Charlize Theron,1
Tea Leoni,Tea Leoni,1
Peter Sarsguard,Peter Sarsgaard,0.988
Mary Steenburgen,Mary Steenburgen,1
Ed Burns,Ed Burns,1
Jesica Chastain,Jessica Chastain,0.911
Viggo Mortenson,Viggo Mortensen,0.994
Blair Underwood,Blair Underwood,1
Jon Hamm,Jon Hamm,1
David Hasselhoff,David Hasselhoff,1
Julia Roberts,Julia Roberts,1
Catherine Zeta-Jones,Catherine Zeta-Jones,1
Bruce Willis,Bruce Willis,1
Jamie Bell,Jamie Bell,1
Malcolm McDowell,Malcolm McDowell,1
Cathleen Turner,Kathleen Turner,0.956
Vince Vaugn,Vince Vaughn,0.995
Anne Hathaway,Anne Hathaway,1
Val Kilmer,Val Kilmer,1
Blythe Danner,Blythe Danner,1
Emma Stone,Emma Stone,1
John Travolta,John Travolta,1
Gene Hackman,Gene Hackman,1
Nichole Kidman,Nicole Kidman,0.981
Kate Hudson,Kate Hudson,1
Michael Fasbender,Michael Fassbender,0.993
Paul Newman,Paul Newman,1
Don Cheadle,Don Cheadle,1
David Schwimmer,David Schwimmer,1
Michele Pfeiffer,Michelle Pfeiffer,0.987
Rober De Niro,Robert De Niro,0.985
Paul Dano,Paul Dano,1
Joseph Gordon Levitt,Joseph Gordon-Levitt,0.988
Rosana Arquette,Rosanna Arquette,0.986
Sarah Jesica Parker,Sarah Jessica Parker,0.991
Joan Cusack,Joan Cusack,1
Adam Sandler,Adam Sandler,1
Renee Zelwegger,Renee Zellweger,0.982
Isabella Roselini,Isabella Rossellini,0.987
Daniel Craig,Daniel Craig,1
Woody Allen,Woody Allen,1
Beau Bridges,Beau Bridges,1
Mark Ruffolo,Mark Ruffalo,0.979
Albert Finney,Albert Finney,1
Javier Bardem,Javier Bardem,1
Tom Arnold,Tom Arnold,1
Mike Myers,Mike Myers,1
Seth Rogan,Seth Rogen,0.987
Donald Sutherland,Donald Sutherland,1
Mel Gibson,Mel Gibson,1
MIra Sorvino,Mira Sorvino,1
Samuel L. Jackson,Samuel L. Jackson,1
Jack black,Jack Black,1
Andie McDowell,Andie MacDowell,0.988
Dennis Leary,Denis Leary,0.979
Jim Carry,Jim Carrey,0.993
Helena Bonham Carter,Helena Bonham Carter,1
Kate Winslet,Kate Winslet,1
Juliette Binoche,Juliette Binoche,1
Liev Schriber,Liev Schreiber,0.982
Kevin James,Kevin James,1
Brook Shields,Brooke Shields,0.952
Sharon Stone,Sharon Stone,1
Hugh Grant,Hugh Grant,1
Martin Lawrence,Martin Lawrence,1
David Schwimmer,David Schwimmer,1
Peter O'tool,Peter O'toole,0.998
Jeff Daniels,Jeff Daniels,1
Anthony Quinn,Anthony Quinn,1
Maggie Gyllenhaal,Maggie Gyllenhaal,1
Merryl Streep,Meryl Streep,0.916
John Voit,Jon Voight,0.917
Ian Holm,Ian Holm,1
Christopher Walkin,Christopher Walken,0.996
Tracy Ullman,Tracey Ullman,0.982
Michelle Pfiffer,Michelle Pfeiffer,0.986
Andie Mcdowell,Andie MacDowell,0.964
Judy Dench,Judi Dench,0.953
Jeffery Wright,Jeffrey Wright,0.983
Brendan Fraiser,Brendan Fraser,0.994
Matt Damon,Matt Damon,1
Ed Harris,Ed Harris,1
Demi Moore,Demi Moore,1
tom Arnold,Tom Arnold,1
Sally Fields,Sally Fields,1
Sissy Spacek,Sissy Spacek,1
Joe Pesci,Joe Pesci,1
Adrien Brody,Adrien Brody,1
Katherine Zeta-Jones,Catherine Zeta-Jones,0.967
Sidney Poitier,Sidney Poitier,1
Edward NOrton,Edward Norton,1
Val Kilmer,Val Kilmer,1
Lindsay Lowhan,Lindsay Lohan,0.993
Kate Winslet,Kate Winslet,1
Jason Bateman,Jason Bateman,1
Bruce Willis,Bruce Willis,1
Ellen Degeneris,Ellen Degeneres,0.994
Bill Murray,Bill Murray,1
Paul Newman,Paul Newman,1
Jamie Lee Curtis,Jamie Lee Curtis,1
Peter Gallagher,Peter Gallagher,1
Peirce Brosnan,Pierce Brosnan,0.978
Bradley Cooper,Bradley Cooper,1
